McD_Pc,McD_Count,IRSAD_Pc_Decile,IRSAD_Pc_Prcntl,Pop_Pc,Peo_per_McD,1000_per_McD,McD_LGA
3181,1,10,93,20260,20260,20.3,Stonnington
4285,1,4,31,20247,20247,20.2,Kyogle
2120,1,10,97,20208,20208,20.2,Ku-ring-gai
3168,1,8,71,20197,20197,20.2,Monash
5085,1,5,46,19974,19974,20.0,Salisbury
4208,1,8,72,19965,19965,20.0,Gold Coast
6153,1,10,96,19865,19865,19.9,Melville
4508,1,1,7,19850,19850,19.9,Moreton Bay
3128,1,8,79,19828,19828,19.8,Whitehorse
3555,1,2,20,19687,19687,19.7,Greater Bendigo
4210,1,8,73,19475,19475,19.5,Scenic Rim
820,1,10,91,19447,19447,19.4,Darwin
5112,1,1,2,19421,19421,19.4,Salisbury
4825,1,4,40,19246,19246,19.2,Winton
5125,1,8,72,19218,19218,19.2,Tea Tree Gully
4869,1,3,29,19010,19010,19.0,Cairns
4557,1,7,67,18985,18985,19.0,Sunshine Coast
6066,1,5,49,18704,18704,18.7,Wanneroo
3068,1,10,95,18662,18662,18.7,Yarra
3875,1,3,28,18625,18625,18.6,Wellington
3031,1,7,68,18531,18531,18.5,Moonee Valley
5253,1,1,5,18489,18489,18.5,The Coorong
5118,1,5,43,18411,18411,18.4,Playford
2880,1,1,9,18276,18276,18.3,Wentworth
830,1,6,58,18207,18207,18.2,Palmerston
4507,1,2,20,18142,18142,18.1,Sunshine Coast
4160,1,9,85,18139,18139,18.1,Redland
3677,1,3,23,18102,18102,18.1,Wangaratta
3048,1,1,3,18029,18029,18.0,Hume
4133,1,3,26,17769,17769,17.8,Logan
2536,1,3,21,17716,17716,17.7,Shoalhaven
2850,1,4,37,17644,17644,17.6,Wellington
2906,1,9,83,17633,17633,17.6,Queanbeyan
4700,1,3,28,17437,17437,17.4,Rockhampton
4304,1,1,10,17316,17316,17.3,Ipswich
2753,1,6,58,17134,17134,17.1,Penrith
5169,1,4,38,17084,17084,17.1,Onkaparinga
2018,1,7,70,17028,17028,17.0,Sydney
2519,1,7,62,16929,16929,16.9,Wollongong
2211,1,7,68,16846,16846,16.8,Canterbury
7010,1,1,5,16842,16842,16.8,Hobart
6714,1,9,81,16829,16829,16.8,Roebourne
6057,1,6,59,16806,16806,16.8,Swan
4066,1,10,95,16698,16698,16.7,Brisbane
4061,1,10,95,16692,16692,16.7,Brisbane
2032,1,8,78,16689,16689,16.7,Randwick
